entry_time,exit_time,direction,entry,stop,exit,reason,r_price,holding_days,r_mult_gross,r_mult_net,pnl_frac_gross,pnl_frac_net
2021-06-16 11:00:00+00:00,2021-06-22 15:00:00+00:00,-1,39080.01,41525.49571428572,31743.55285714286,trail,2445.4857142857145,148,3.0,2.923006081234227,0.06,0.05846012162468454
2021-06-23 00:00:00+00:00,2021-09-07 15:00:00+00:00,1,33653.33,28215.813214285714,44528.36357142858,trail,5437.516785714288,1835,2.0,1.9120126045784955,0.04,0.038240252091569914
2021-09-10 14:00:00+00:00,2021-09-15 10:00:00+00:00,-1,45152.79,47659.21857142857,47659.21857142857,stop,2506.4285714285725,116,-1.0,-1.0674424594471357,-0.02,-0.021348849188942715
2021-09-18 04:00:00+00:00,2021-09-20 02:00:00+00:00,1,48329.3,46489.29892857143,46489.29892857143,stop,1840.0010714285745,46,-1.0,-1.0946063628942002,-0.02,-0.021892127257884003
2021-09-24 09:00:00+00:00,2021-10-01 10:00:00+00:00,-1,42350.81,45261.764642857146,45261.764642857146,stop,2910.9546428571484,167,-1.0,-1.1141279165106959,-0.02,-0.022282558330213916
2021-10-01 21:00:00+00:00,2021-11-18 17:00:00+00:00,1,48344.93,39875.446071428574,56814.41392857143,trail,8469.483928571426,1148,1.0,0.9785066075011742,0.02,0.019570132150023484
2021-11-22 00:00:00+00:00,2021-11-25 00:00:00+00:00,-1,58118.54,60303.46178571429,58118.54,trail,2184.9217857142867,72,-0.0,-0.08996661541170163,-0.0,-0.0017993323082340328
2021-11-26 08:00:00+00:00,2021-12-06 22:00:00+00:00,-1,55210.9,59711.03642857143,50710.76357142857,trail,4500.13642857143,254,1.0,0.9415452357476145,0.02,0.01883090471495229
2021-12-07 20:00:00+00:00,2021-12-08 14:00:00+00:00,-1,50441.59,52133.864285714284,50441.59,trail,1692.2742857142875,18,-0.0,-0.1385432639254692,-0.0,-0.002770865278509384
2021-12-12 17:00:00+00:00,2021-12-13 19:00:00+00:00,1,50251.94,46542.457500000004,46542.457500000004,stop,3709.4824999999983,26,-1.0,-1.0561781159164374,-0.02,-0.021123562318328747
2021-12-17 14:00:00+00:00,2021-12-22 02:00:00+00:00,-1,45971.01,49567.59607142857,49567.59607142857,stop,3596.5860714285664,108,-1.0,-1.0517547228021085,-0.02,-0.02103509445604217
2021-12-23 07:00:00+00:00,2021-12-23 17:00:00+00:00,-1,48129.6,49768.25607142857,49768.25607142857,stop,1638.6560714285733,10,-1.0,-1.1002594019118885,-0.02,-0.022005188038237773
2021-12-26 00:00:00+00:00,2021-12-27 17:00:00+00:00,-1,50378.41,51969.205714285716,51969.205714285716,stop,1590.7957142857122,41,-1.0,-1.0846299572900198,-0.02,-0.021692599145800396
