Div,Season,Date,HomeTeam,AwayTeam,FTR,outcome,odds,ev,fair_p_open,fair_p_close,win,clv,pnl_gross,pnl_tax,pnl_slip,suspect,ret_primary,ret_stress,stake
SP2,2122,2021-09-04,Fuenlabrada,Lugo,D,D,3.1,0.028843134139081794,0.33188488198034893,0.31593627054116596,1.0,-0.020597561322385438,2.1,2.047,2.079,False,2.079,2.0260000000000002,0.003433706445128785
SP2,2122,2021-09-11,Mirandes,Alcorcon,A,D,3.1,0.03221712961714074,0.3329732676184325,0.318397855120115,0.0,-0.01296664912764356,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0038353725734691355
SP2,2122,2021-09-12,Malaga,Girona,H,D,3.1,0.03413536355521063,0.33359205275974535,0.3310004762034323,0.0,0.026101476230640186,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.004063733756572694
SP2,2122,2021-09-19,Ponferradina,Malaga,H,D,3.0,0.04051376094551351,0.34683792031517113,0.33471960875327583,0.0,0.004158826259827553,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.005064220118189189
SP2,2122,2021-09-24,Almeria,Tenerife,H,D,3.2,0.020192771956984323,0.3188102412365576,0.30423723283413084,0.0,-0.0264408549307813,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0022946331769300365
SP2,2122,2021-10-09,Oviedo,Sp Gijon,D,D,3.1,0.04724385319125668,0.33782059780363116,0.33073217693500334,1.0,0.02526974849851049,2.1,2.047,2.079,False,2.079,2.0260000000000002,0.0056242682370543666
SP2,2122,2021-10-10,Cartagena,Ibiza,H,D,3.2,0.0255762174471863,0.32049256795224573,0.3144327955822646,0.0,0.006184945863246805,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0029063883462711704
SP2,2122,2021-10-30,Lugo,Sp Gijon,D,D,3.1,0.05598549423664645,0.34064048201182145,0.3285106216705179,1.0,0.018382927178605568,2.1,2.047,2.079,False,2.079,2.0260000000000002,0.006664939790076958
SP2,2122,2021-11-07,Zaragoza,Sp Gijon,H,D,3.1,0.06721738351294548,0.34426367210095016,0.3440560427785387,0.0,0.06657373261346988,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.008002069465826843
SP2,2122,2021-11-14,Burgos,Ponferradina,H,D,3.2,0.03742701203201526,0.3241959412600047,0.3321377417494745,0.0,0.06284077359831852,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.004253069549092643
SP2,2122,2021-11-22,Zaragoza,Leganes,A,D,3.1,0.04349072714898061,0.3366099119835421,0.3300754703514914,0.0,0.023233958089623252,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.005177467517735787
SP2,2122,2021-12-05,Sociedad B,Burgos,A,D,3.2,0.026297897444369056,0.32071809295136533,0.284849713187926,0.0,-0.08848091779863676,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.00298839743686012
SP2,2122,2021-12-12,Leganes,Ponferradina,D,D,3.4,0.029964363715191622,0.3029306952103505,0.3008909283845215,1.0,0.02302915650737325,2.4,2.347,2.376,False,2.376,2.323,0.0031212878869991273
SP2,2122,2021-12-12,Alcorcon,Cartagena,D,D,3.1,0.02471786673911258,0.33055415056100407,0.32128047564401385,1.0,-0.004030525503556981,2.1,2.047,2.079,False,2.079,2.0260000000000002,0.002942603183227688
SP2,2122,2021-12-18,Ibiza,Sp Gijon,A,D,3.1,0.02562285013709653,0.330846080689386,0.32996375189583116,0.0,0.02288763087707668,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0030503393020353013
SP2,2122,2022-01-08,Ibiza,Alcorcon,H,D,3.8,0.051194319885374595,0.2766300841803617,0.30379901152484,0.0,0.15443624379439203,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.004570921418337017
SP2,2122,2022-01-08,Valladolid,Burgos,H,D,4.5,0.047180925797812856,0.232706872399514,0.19329206570743906,0.0,-0.1301857043165242,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.003370066128415204
SP2,2122,2022-01-08,Leganes,Sociedad B,D,D,3.6,0.020468006283403062,0.28346333507872307,0.2842266263930433,1.0,0.023215855014955933,2.6,2.547,2.574,False,2.574,2.521,0.001968077527250294
SP2,2122,2022-01-09,Malaga,Sp Gijon,D,D,3.3,0.058169108213833365,0.32065730551934346,0.3401365441610883,1.0,0.12245059573159134,2.3,2.247,2.2769999999999997,False,2.2769999999999997,2.2239999999999998,0.00632272915367754
SP2,2122,2022-01-09,Ponferradina,Zaragoza,D,D,3.3,0.03618383907500222,0.3139951027500007,0.31708072515094926,1.0,0.04636639299813261,2.3,2.247,2.2769999999999997,False,2.2769999999999997,2.2239999999999998,0.003933025986413285
SP2,2122,2022-02-06,Amorebieta,Oviedo,D,D,3.0,0.025236809039871577,0.34174560301329054,0.3455646873811612,1.0,0.036694062143483475,2.0,1.947,1.98,False,1.98,1.927,0.003154601129983947
SP2,2122,2022-02-06,Huesca,Mirandes,H,D,3.3,0.03230962509394586,0.31282109851331696,0.2842943913603178,0.0,-0.06182850851095123,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.003511915771081072
SP2,2122,2022-02-12,Mirandes,Sp Gijon,A,D,3.3,0.027140575231534125,0.31125471976713154,0.3243998543652421,0.0,0.07051951940529877,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.002950062525166753
SP2,2122,2022-02-19,Girona,Eibar,A,D,3.3,0.04947088823895052,0.31802148128453045,0.2915202963734049,0.0,-0.03798302196776393,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.005377270460755491
SP2,2122,2022-02-20,Fuenlabrada,Alcorcon,D,D,3.1,0.0346943832613027,0.3337723816971944,0.33412904096439766,1.0,0.035800026989632805,2.1,2.047,2.079,False,2.079,2.0260000000000002,0.004130283721583654
SP2,2122,2022-02-26,Mirandes,Tenerife,H,D,3.2,0.02217423728144796,0.31942944915045246,0.3155728853479375,0.0,0.009833233113399897,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.002519799691073632
SP2,2122,2022-03-12,Malaga,Ponferradina,D,D,3.0,0.04118678490666894,0.3470622616355563,0.32646043698226707,1.0,-0.020618689053198747,2.0,1.947,1.98,False,1.98,1.927,0.005148348113333617
SP2,2122,2022-04-02,Amorebieta,Ibiza,H,D,3.25,0.020843650691011906,0.31410573867415753,0.2945379388458663,0.0,-0.04275169875093443,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0023159611878902117
SP2,2122,2022-04-10,Zaragoza,Girona,H,D,3.2,0.024003560357244158,0.32000111261163877,0.30758133622264017,0.0,-0.01573972408755142,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0027276773133231994
SP2,2122,2022-04-24,Zaragoza,Burgos,D,D,3.4,0.07619340036282041,0.3165274706949472,0.29631577639639756,1.0,0.007473639747751726,2.4,2.347,2.376,False,2.376,2.323,0.007936812537793794
SP2,2122,2022-05-29,Burgos,Girona,D,D,3.25,0.06506801101064585,0.3277132341571218,0.2931188121061128,1.0,-0.04736386065513343,2.25,2.197,2.2275,False,2.2275,2.1745,0.007229779001182873
SP2,2223,2022-08-13,Eibar,Tenerife,H,D,3.2,0.027269833875662508,0.3210218230861445,0.32958040418165996,0.0,0.05465729338131187,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.003098844758598012
SP2,2223,2022-08-15,Cartagena,Ponferradina,A,D,3.4,0.0215760373435665,0.3004635403951666,0.28218154125316075,0.0,-0.040582759739253516,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.002247503889954844
SP2,2223,2022-09-03,Tenerife,Santander,H,D,3.75,0.0232675578490269,0.2728713487597405,0.2980562929576073,0.0,0.11771109859102746,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.002115232531729718
SP2,2223,2022-09-05,Oviedo,Levante,D,D,3.1,0.025971024143853105,0.3309583948851139,0.331271073068239,1.0,0.02694032651154088,2.1,2.047,2.079,False,2.079,2.0260000000000002,0.003091788588553941
SP2,2223,2022-09-11,Ibiza,Tenerife,H,D,3.2,0.04738130060878065,0.3273066564402439,0.3173233277598512,0.0,0.015434648831524012,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.005384238705543255
SP2,2223,2022-09-24,Huesca,Leganes,H,D,3.2,0.02288547104036276,0.31965170970011336,0.3152603386296695,0.0,0.008833083614942394,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0026006217091321315
SP2,2223,2022-09-24,Ponferradina,Tenerife,D,D,3.3,0.028222568222386668,0.31158259643102626,0.310481055889519,1.0,0.02458748443541281,2.3,2.247,2.2769999999999997,False,2.2769999999999997,2.2239999999999998,0.003067670458955073
SP2,2223,2022-10-09,Cartagena,Leganes,A,D,3.25,0.03533337051244945,0.3185641140038306,0.30365046237886123,0.0,-0.01313599726870096,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.003925930056938827
SP2,2223,2022-10-23,Leganes,Tenerife,H,D,3.1,0.03803838372969848,0.3348510915257092,0.35620848882138617,0.0,0.10424631534629714,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.004528379015440295
SP2,2223,2022-11-04,Alaves,Zaragoza,H,D,3.1,0.020358545358254432,0.3291479178575014,0.33204737068464724,0.0,0.029346849122406482,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0024236363521731464
SP2,2223,2022-12-08,Burgos,Eibar,A,D,3.0,0.03178888088518095,0.343929626961727,0.35661420028532265,0.0,0.06984260085596805,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0039736101106476185
