Div,Season,Date,HomeTeam,AwayTeam,FTR,outcome,odds,ev,fair_p_open,fair_p_close,win,clv,pnl_gross,pnl_tax,pnl_slip,suspect
F1,2021,2021-05-23,Brest,Paris SG,A,H,12.0,0.05951155383558593,0.08829262948629883,0.09356741111326614,0.0,0.12280893335919352,-1.0,-1.053,-1.0,False
F1,2223,2022-08-31,Toulouse,Paris SG,A,H,13.0,0.07571275592134552,0.08274713507087274,0.08917298244736474,0.0,0.1592487718157416,-1.0,-1.053,-1.0,False
F1,2324,2023-12-03,Le Havre,Paris SG,A,H,11.0,0.03849958828057898,0.09440905348005264,0.10476772581629863,0.0,0.15244498397928496,-1.0,-1.053,-1.0,False
E0,2021,2021-01-13,Man City,Brighton,H,D,8.5,0.042531064912669114,0.12265071351913755,0.11666951056240359,0.0,-0.008309160219569511,-1.0,-1.053,-1.0,False
E0,2021,2021-03-02,Man City,Wolves,H,D,7.0,0.03457379598133592,0.14779625656876227,0.13415590409531755,0.0,-0.06090867133277711,-1.0,-1.053,-1.0,False
,2122,2021-08-29,Tottenham,Watford,H,D,4.75,0.03609197831676325,0.2181246270140554,0.2068234486091847,0.0,-0.01758861910637266,-1.0,-1.053,-1.0,False
,2122,2021-09-18,Man City,Southampton,D,D,9.5,0.037677480384260775,0.10922920846150114,0.11392249048288373,1.0,0.08226365958739557,8.5,8.447,8.415,False
E0,2223,2022-10-29,Leicester,Man City,A,D,6.5,0.038909599573969,0.15983224608830293,0.1847084104309833,0.0,0.2006046678013913,-1.0,-1.053,-1.0,False
E0,2223,2022-12-31,Man City,Everton,D,D,9.0,0.053115772441880926,0.11701286360465343,0.09641207426109516,1.0,-0.1322913316501435,8.0,7.947,7.92,False
E0,2324,2023-08-26,Arsenal,Fulham,D,D,7.0,0.07758091717295224,0.15394013102470747,0.14998153063765093,1.0,0.04987071446355662,6.0,5.947,5.9399999999999995,False
E1,1920,2020-01-01,Fulham,Reading,A,D,4.2,0.03512268073279179,0.24645778112685518,0.25279877588093913,0.0,0.06175485869994435,-1.0,-1.053,-1.0,False
E1,2021,2020-10-03,Sheffield Weds,QPR,D,D,3.5,0.0413064191786614,0.2975161197653318,0.2817778147330863,1.0,-0.013777648434198042,2.5,2.447,2.475,False
E1,2021,2020-10-31,Stoke,Rotherham,H,D,3.75,0.04342086203052742,0.27824556320814064,0.26213293810747784,0.0,-0.017001482096958065,-1.0,-1.053,-1.0,False
E1,2021,2020-11-04,Nott'm Forest,Coventry,H,D,3.75,0.04895195736331326,0.2797205219635502,0.29533971547649224,0.0,0.10752393303684582,-1.0,-1.053,-1.0,False
E1,2021,2020-12-05,Millwall,Derby,A,D,3.5,0.03470406501407375,0.2956297328611639,0.294620864451656,0.0,0.03117302558079582,-1.0,-1.053,-1.0,False
E1,2122,2022-03-12,Cardiff,Preston,D,D,3.2,0.030658125622199828,0.32208066425693743,0.3103311060809168,1.0,-0.006940460541066229,2.2,2.1470000000000002,2.178,False
E1,2122,2022-03-15,Bournemouth,Reading,D,D,5.5,0.03856988729146904,0.18883088859844893,0.20119987734020262,1.0,0.10659932537111438,4.5,4.447,4.455,False
